"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.14240345404311e-35,0.832477677092548,0.261,0.141,1.60736104763026e-30,"11","TANC2"
9.1320928790302e-75,0.829170494143284,0.409,0.201,2.85441827119847e-70,"11","TALAM1"
1.60134171461728e-36,0.822497268225206,0.293,0.162,5.00531379737923e-32,"11","LY86"
1.23683956096749e-27,0.812273443961736,0.29,0.177,3.86598941571608e-23,"11","CHD9"
3.62502542966539e-29,0.805748149575571,0.271,0.157,1.13307419855051e-24,"11","TGFB1"
1.00148471278677e-155,0.800920156610816,0.396,0.136,3.1303407667576e-151,"11","ENSG00000280441"
6.846530209288e-37,0.797370868789135,0.424,0.281,2.14001994751715e-32,"11","HLA-DMA"
1.04177560905648e-18,0.793788787824306,0.558,0.504,3.25627802122783e-14,"11","HLA-DRB1"
5.12001095391982e-23,0.784928181492067,0.35,0.241,1.60036182386672e-18,"11","HSPE1"
3.39710026915334e-22,0.777322765312868,0.309,0.206,1.06183163112926e-17,"11","MAFB"
1.44434618939378e-28,0.77220180233915,0.288,0.172,4.51459288418814e-24,"11","IL18"
2.82641544717274e-30,0.771097130840961,0.316,0.192,8.83452676322782e-26,"11","WASF2"
5.81627580104207e-88,0.764885084479219,0.651,0.368,1.81799332713172e-83,"11","DOCK4"
3.69668875759407e-45,0.746967551970876,0.424,0.255,1.15547400496118e-40,"11","ELL2"
